Datasets,RandomGhosts,Legacy
528,5110,6580
529,5910,4980
530,8480,3420
531,1650,6750
532,5480,7700
533,4270,6180
534,2700,6620
535,3730,6770
536,6060,5830
537,4740,15770
538,4730,12550
539,3640,7730
540,3930,14790
541,6370,7180
542,5190,9840
543,2080,12440
544,11890,5700
545,5040,7070
546,6190,14370
547,4840,15580
548,6730,11110
549,2670,7670
550,3610,9780
551,4590,15440
552,2780,6380
553,6620,21050
554,2980,8970
555,5130,4660
556,5270,9460
557,5760,5980
558,16550,24630
559,17680,8830
560,3630,7820
561,4420,15680
562,5240,5140
563,4490,2920
564,8680,6950
565,6540,15200
566,4350,7070
567,6320,9290
568,5930,4420
569,4660,14130
570,8760,9350
571,8480,7190
572,4760,5790
573,4980,15780
574,4040,8330
575,6770,6370
576,12280,8780
577,4470,17350
578,7040,7740
579,2100,14340
580,4110,14150
581,5690,11400
582,13220,6780
583,1800,3960
584,5760,6170
585,3740,5270
586,4590,5420
587,5310,7880
588,1880,5520
589,9550,6770
590,3720,13600
591,4930,10930
592,3510,16080
593,4330,6270
594,6860,19880
595,7640,7920
596,4730,14480
597,4640,13410
598,3250,5360
599,2070,14820
600,5190,7110
601,4260,5960
602,5200,14880
603,3060,9360
604,4580,12450
605,3860,8270
606,5630,5410
607,4860,15550
608,3780,7560
609,6250,13150
610,6440,11880
611,5560,17250
612,8180,14750
613,4490,20780
614,4030,14040
615,4330,6450
616,7150,8620
617,6550,8780
618,6240,6360
619,4580,18560
620,4330,12360
621,8780,15680
622,6040,21030
623,2670,5910
624,4870,7940
625,7440,17120
626,1840,11970
627,4820,19610
628,1650,9620
629,5130,6280
630,9080,4690
631,5440,10790
632,4440,18620
633,6840,4570
634,4330,13700
635,6730,7570
636,4440,14850
637,14810,8140
638,7830,7640
639,4410,12740
640,9180,7600
641,6840,9060
642,5460,4710
643,3680,12070
644,5680,14880
645,6250,6760
646,7120,13480
647,4940,8960
648,5580,11870
649,4000,5450
650,4730,11880
651,3160,9200
652,4400,3770
653,5110,17030
654,4590,6120
655,7640,4720
656,5110,16150
657,5550,7010
658,4240,12690
659,2650,7710
660,5550,14150
661,4180,8630
662,5170,3730
663,8440,5980
664,4270,8780
665,6040,13990
666,3740,11450
667,2680,14560
668,4400,14620
669,4270,12460
670,2740,8970
671,2860,16150
672,3820,14080
673,4590,8860
674,5770,8020
675,1730,7520
676,3860,5540
677,4590,15900
678,4330,6650
679,5470,15170
680,4740,10780
681,5930,13750
682,7390,29350
683,4020,4720
684,5680,6350
685,4330,6730
686,3320,9810
687,1650,9500
688,6130,11120
689,4390,5620
690,5620,7970
691,5130,8370
692,6040,13710
693,2570,20440
694,2670,8940
695,2150,15680
696,8440,4530
697,3290,12120
698,2380,7560
699,3760,4180
700,2460,14150
701,3420,12580
702,5130,7980
703,4690,8670
704,4130,9850
705,3060,4170
706,7270,8740
707,4020,5770
708,4510,15950
709,4420,6280
710,8640,4390
711,2150,5580
712,4340,17710
713,7220,9830
714,4730,14880
715,4850,16480
716,3260,8020
717,1650,5720
718,7370,9300
719,4210,11990
720,8040,2840
721,5570,14920
722,3240,9430
723,7380,9050
724,6840,3880
725,4240,5580
726,4330,4250
727,7890,9660
728,3620,8610
729,3360,14960
730,7530,11620
731,2690,4940
732,7970,5810
733,3910,15380
734,13130,7860
735,2810,9020
736,5650,6740
737,4740,6240
738,4330,14040
739,5420,11460
740,4020,5960
741,4330,11680
742,5350,19880
743,4330,16520
744,8950,8160
745,5130,7580
746,6370,7510
747,4490,5330
748,1940,7980
749,3840,4560
750,4270,9550
751,7240,9220
752,3520,7990
753,5130,7770
754,5600,9450
755,4330,5650
756,7640,11740
757,4910,6740
758,9210,7470
759,3320,4750
760,6840,6150
761,5240,7170
762,1120,7320
763,4120,11080
764,4470,10920
765,2930,8380
766,4770,12410
767,3580,5870
768,4580,15580
769,11350,15230
770,2450,9820
771,1950,16080
772,4030,14950
773,1650,15880
774,5700,8400
775,3130,9560
776,4330,14120
777,8130,11780
778,4400,5500
779,4510,13150
780,7350,4460
781,4550,20530
782,7180,7540
783,8900,5980
784,6640,12920
785,7950,12520
786,5690,6380
787,1650,6660
788,3290,13040
789,1800,9530
790,4000,9030
791,5100,12820
792,4910,21370
793,3560,9050
794,7350,6290
795,4070,14680
796,3310,10520
797,7050,6550
798,4830,14950
799,4190,9170
800,4850,6280
801,4130,13950
802,4990,20390
803,1690,4690
804,5640,6800
805,4650,3410
806,9060,8300
807,5570,11920
808,1660,15190
809,7260,5580
810,6640,9910
811,5560,13480
812,4130,14510
813,5450,18440
814,3890,13760
815,3440,5870
816,4330,13540
817,6110,2720
818,4590,9760
819,4840,6840
820,4880,11990
821,2270,10470
822,3450,6780
823,1530,11210
824,14970,17080
825,5110,8290
826,4410,5150
827,5170,7900
828,5390,7580
829,4970,4900
830,5480,9340
831,3670,4000
832,5130,10510
833,8130,5780
834,7290,12950
835,5590,8740
836,4770,8750
837,4420,10320
838,3360,12650
839,4330,9840
840,5130,4550
841,6550,7330
842,4870,5760
843,4400,12270
844,2840,13700
845,2150,14970
846,7240,7950
847,3630,5930
848,5080,13000
849,5240,5170
850,7530,9320
851,2280,9230
852,6280,17460
853,4980,7190
854,4400,7060
855,4650,6790
856,3420,7300
857,6270,5910
858,8040,5380
859,4940,9330
860,4210,14010
861,2630,13080
862,1650,5530
863,6040,11590
864,5180,15340
865,1890,11730
866,4310,15320
867,6040,12230
868,4290,10220
869,1590,5310
870,3380,14570
871,7110,7480
872,4610,7600
873,5550,2610
874,5130,14140
875,4330,10400
876,2830,6710
877,5630,5950
878,5120,22290
879,4560,12990
880,5520,9310
881,11640,13550
882,6040,9460
883,5080,6220
884,4370,6610
885,3440,15150
886,4240,12620
887,5630,6370
888,6550,7550
889,4980,10850
890,1800,15350
891,4840,7370
892,4420,15010
893,4800,12930
894,6570,14880
895,5400,10750
896,5200,6990
897,4590,6720
898,4470,5900
899,10340,14120
900,5300,15280
901,6730,14570
902,4730,5030
903,5780,11530
904,5730,15550
905,5540,8330
906,4530,7840
907,6610,6960
908,4720,5610
909,5530,8600
910,8440,10370
911,4980,12490
912,4890,5900
913,13910,8670
914,4730,14390
915,2670,6770
916,5380,15040
917,4470,16870
918,5180,5170
919,3920,5570
920,5280,12900
921,4500,12500
922,5130,7980
923,4640,12330
924,3910,9080
925,4800,13590
926,3840,16750
927,4660,13750
928,3200,9480
929,4180,5470
930,6080,7410
931,4580,14480
932,6840,5550
933,4330,5340
934,6530,11790
935,8080,7100
936,4870,7180
937,5040,4870
938,11820,5940
939,6330,3500
940,4640,5950
941,8320,7970
942,4840,11490
943,9100,11410
944,4670,9170
945,1660,9300
946,6340,5470
947,2050,13790
948,4840,5960
949,2750,5890
950,6240,11210
951,4840,19130
952,3780,3500
953,4560,8060
954,8030,4660
955,9560,4540
956,4330,2260
957,13480,5980
958,4730,2720
959,3560,9760
960,9150,5540
961,4750,2850
962,6020,14680
963,3000,17820
964,2660,6690
965,10350,14600
966,5270,4160
967,4350,15280
968,5100,9750
969,3000,11710
970,4330,12720
971,4330,12580
972,4340,4770
973,3720,8380
974,4840,5980
975,3610,5370
976,6040,17150
977,8010,8780
978,4440,6540
979,2490,9790
980,5640,6360
981,4710,7050
982,4330,17230
983,4270,9660
984,2750,11280
985,1530,4980
986,5740,12420
987,3980,6960
988,4840,7600
989,3930,15280
990,7310,14980
991,3230,7040
992,3820,13710
993,7960,3000
994,8260,15180
995,5670,5530
996,7220,25490
997,6630,18430
998,4930,9590
999,6040,3820
1000,5150,8690
